animal_event_id,group_event_id,animal_id,group_id,date,training_day,event_time,event_type,audio_cue,pulse_delivered,audio_only,previous_direct_exposures,initiator_id,data_complete
AE00162,GE0072,C051,G5,2026-09-02,2,09:13:40,Direct,1,0,1,3,C051,1
AE00167,GE0075,C051,G5,2026-09-02,2,07:47:20,Social,0,0,,,C059,1
AE00169,GE0076,C051,G5,2026-09-02,2,11:37:33,Direct,1,1,0,4,C051,1
AE00166,GE0075,C059,G5,2026-09-02,2,07:47:20,Direct,1,1,0,1,C059,1
AE00168,GE0075,C052,G5,2026-09-02,2,07:47:20,Social,0,0,,,C059,1
AE00171,GE0076,C052,G5,2026-09-02,2,11:37:33,Social,0,0,,,C051,1
AE00170,GE0076,C050,G5,2026-09-02,2,11:37:33,Social,0,0,,,C051,1
AE00173,GE0077,C071,G6,2026-09-02,2,17:56:28,Direct,1,1,0,2,C071,1
AE00178,GE0078,C071,G6,2026-09-02,2,14:44:55,Social,0,0,,,C069,1
AE00179,GE0079,C071,G6,2026-09-02,2,09:53:10,Direct,1,0,1,3,C071,1
AE00183,GE0081,C071,G6,2026-09-02,2,11:09:19,Direct,1,0,1,4,C071,1
AE00185,GE0082,C071,G6,2026-09-02,2,10:15:04,Direct,1,0,1,5,C071,1
AE00195,GE0086,C071,G6,2026-09-02,2,16:05:11,Direct,1,0,1,6,C071,1
AE00200,GE0087,C071,G6,2026-09-02,2,09:24:39,Social,0,0,,,C069,1
AE00212,GE0093,C071,G6,2026-09-02,2,10:22:11,Direct,1,0,1,7,C071,1
AE00174,GE0077,C061,G6,2026-09-02,2,17:56:28,Social,0,0,,,C071,1
AE00182,GE0080,C061,G6,2026-09-02,2,12:55:11,Direct,1,0,1,0,C061,1
AE00204,GE0089,C061,G6,2026-09-02,2,11:38:53,Direct,1,0,1,1,C061,1
AE00175,GE0077,C065,G6,2026-09-02,2,17:56:28,Social,0,0,,,C071,1
AE00181,GE0079,C065,G6,2026-09-02,2,09:53:10,Social,0,0,,,C071,1
AE00191,GE0084,C065,G6,2026-09-02,2,11:40:00,Direct,1,1,0,0,C065,1
AE00197,GE0086,C065,G6,2026-09-02,2,16:05:11,Social,0,0,,,C071,1
AE00206,GE0089,C065,G6,2026-09-02,2,11:38:53,Social,0,0,,,C061,1
AE00208,GE0091,C065,G6,2026-09-02,2,12:46:40,Direct,1,0,1,1,C065,1
AE00176,GE0077,C069,G6,2026-09-02,2,17:56:28,Social,0,0,,,C071,1
AE00177,GE0078,C069,G6,2026-09-02,2,14:44:55,Direct,1,1,0,0,C069,1
AE00187,GE0083,C069,G6,2026-09-02,2,18:04:32,Direct,1,0,1,1,C069,1
AE00198,GE0087,C069,G6,2026-09-02,2,09:24:39,Direct,1,0,1,2,C069,1
AE00207,GE0090,C069,G6,2026-09-02,2,15:24:45,Direct,1,0,1,3,C069,1
AE00211,GE0092,C069,G6,2026-09-02,2,10:46:58,Direct,1,0,1,4,C069,1
AE00180,GE0079,C063,G6,2026-09-02,2,09:53:10,Social,0,0,,,C071,1
AE00188,GE0083,C063,G6,2026-09-02,2,18:04:32,Social,0,0,,,C069,1
AE00196,GE0086,C063,G6,2026-09-02,2,16:05:11,Social,0,0,,,C071,1
AE00205,GE0089,C063,G6,2026-09-02,2,11:38:53,Social,0,0,,,C061,1
AE00184,GE0081,C064,G6,2026-09-02,2,11:09:19,Social,0,0,,,C071,1
AE00189,GE0083,C064,G6,2026-09-02,2,18:04:32,Social,0,0,,,C069,1
AE00186,GE0082,C072,G6,2026-09-02,2,10:15:04,Social,0,0,,,C071,1
AE00190,GE0083,C072,G6,2026-09-02,2,18:04:32,Social,0,0,,,C069,1
AE00194,GE0085,C072,G6,2026-09-02,2,18:05:26,Social,0,0,,,C062,1
AE00203,GE0088,C072,G6,2026-09-02,2,09:15:15,Social,0,0,,,C066,1
AE00192,GE0085,C062,G6,2026-09-02,2,18:05:26,Direct,1,1,0,0,C062,1
AE00209,GE0091,C062,G6,2026-09-02,2,12:46:40,Social,0,0,,,C065,1
AE00193,GE0085,C070,G6,2026-09-02,2,18:05:26,Social,0,0,,,C062,1
AE00199,GE0087,C070,G6,2026-09-02,2,09:24:39,Social,0,0,,,C069,1
AE00202,GE0088,C070,G6,2026-09-02,2,09:15:15,Social,0,0,,,C066,1
AE00201,GE0088,C066,G6,2026-09-02,2,09:15:15,Direct,1,1,0,1,C066,1
AE00210,GE0091,C066,G6,2026-09-02,2,12:46:40,Social,0,0,,,C065,1
AE00213,GE0093,C068,G6,2026-09-02,2,10:22:11,Social,0,0,,,C071,1
AE00214,GE0094,C011,G1,2026-09-03,3,06:52:31,Direct,1,1,0,1,C011,1
AE00215,GE0094,C002,G1,2026-09-03,3,06:52:31,Social,0,0,,,C011,0
AE00226,GE0098,C002,G1,2026-09-03,3,14:05:53,Social,0,0,,,C007,0
AE00216,GE0094,C003,G1,2026-09-03,3,06:52:31,Social,0,0,,,C011,1
AE00229,GE0100,C003,G1,2026-09-03,3,12:09:12,Social,0,0,,,C002,1
AE00217,GE0095,C006,G1,2026-09-03,3,10:02:16,Direct,1,0,1,4,C006,1
AE00222,GE0096,C006,G1,2026-09-03,3,15:10:11,Social,0,0,,,C009,1
AE00218,GE0095,C004,G1,2026-09-03,3,10:02:16,Social,0,0,,,C006,1
AE00221,GE0096,C004,G1,2026-09-03,3,15:10:11,Social,0,0,,,C009,1
AE00230,GE0100,C004,G1,2026-09-03,3,12:09:12,Social,0,0,,,C002,1
AE00219,GE0095,C008,G1,2026-09-03,3,10:02:16,Social,0,0,,,C006,1
AE00223,GE0097,C008,G1,2026-09-03,3,08:03:37,Direct,1,1,0,2,C008,1
AE00235,GE0102,C008,G1,2026-09-03,3,12:17:45,Social,0,0,,,C001,1
AE00220,GE0096,C009,G1,2026-09-03,3,15:10:11,Direct,1,0,1,0,C009,1
AE00232,GE0101,C009,G1,2026-09-03,3,13:58:49,Social,0,0,,,C002,1
AE00224,GE0097,C001,G1,2026-09-03,3,08:03:37,Social,0,0,,,C008,1
AE00233,GE0102,C001,G1,2026-09-03,3,12:17:45,Direct,1,0,1,0,C001,1
AE00225,GE0098,C007,G1,2026-09-03,3,14:05:53,Direct,1,0,1,0,C007,1
AE00227,GE0099,C007,G1,2026-09-03,3,14:42:40,Direct,1,0,1,1,C007,1
AE00234,GE0102,C005,G1,2026-09-03,3,12:17:45,Social,0,0,,,C001,1
AE00236,GE0102,C012,G1,2026-09-03,3,12:17:45,Social,0,0,,,C001,1
AE00237,GE0103,C013,G2,2026-09-03,3,13:21:34,Direct,1,0,1,0,C013,1
AE00238,GE0103,C016,G2,2026-09-03,3,13:21:34,Social,0,0,,,C013,1
AE00252,GE0110,C016,G2,2026-09-03,3,11:37:38,Social,0,0,,,C024,1
AE00257,GE0112,C016,G2,2026-09-03,3,15:03:58,Social,0,0,,,C024,1
AE00263,GE0115,C016,G2,2026-09-03,3,17:44:28,Direct,1,0,1,3,C016,1
AE00239,GE0103,C024,G2,2026-09-03,3,13:21:34,Social,0,0,,,C013,1
AE00242,GE0104,C024,G2,2026-09-03,3,07:00:34,Social,0,0,,,C023,1
AE00251,GE0110,C024,G2,2026-09-03,3,11:37:38,Direct,1,1,0,0,C024,1
AE00256,GE0112,C024,G2,2026-09-03,3,15:03:58,Direct,1,1,0,1,C024,1
AE00240,GE0104,C023,G2,2026-09-03,3,07:00:34,Direct,1,0,1,5,C023,1
AE00246,GE0107,C023,G2,2026-09-03,3,10:32:28,Direct,1,0,1,6,C023,1
AE00249,GE0108,C023,G2,2026-09-03,3,17:12:32,Direct,1,0,1,7,C023,1
AE00259,GE0113,C023,G2,2026-09-03,3,18:15:44,Direct,1,0,1,8,C023,1
AE00241,GE0104,C021,G2,2026-09-03,3,07:00:34,Social,0,0,,,C023,1
AE00258,GE0112,C021,G2,2026-09-03,3,15:03:58,Social,0,0,,,C024,1
AE00243,GE0105,C014,G2,2026-09-03,3,12:34:52,Direct,1,0,1,4,C014,0
AE00244,GE0106,C019,G2,2026-09-03,3,16:33:34,Direct,1,1,0,3,C019,1
AE00253,GE0110,C019,G2,2026-09-03,3,11:37:38,Social,0,0,,,C024,1
AE00262,GE0114,C019,G2,2026-09-03,3,09:13:09,Social,0,0,,,C020,1
AE00245,GE0106,C017,G2,2026-09-03,3,16:33:34,Social,0,0,,,C019,1
AE00250,GE0109,C017,G2,2026-09-03,3,18:39:42,Direct,1,0,1,5,C017,1
AE00264,GE0115,C017,G2,2026-09-03,3,17:44:28,Social,0,0,,,C016,1
AE00248,GE0107,C015,G2,2026-09-03,3,10:32:28,Social,0,0,,,C023,1
AE00255,GE0111,C015,G2,2026-09-03,3,08:48:48,Social,0,0,,,C020,1
AE00260,GE0113,C015,G2,2026-09-03,3,18:15:44,Social,0,0,,,C023,1
AE00254,GE0111,C020,G2,2026-09-03,3,08:48:48,Direct,1,0,1,0,C020,1
AE00261,GE0114,C020,G2,2026-09-03,3,09:13:09,Direct,1,1,0,1,C020,1
AE00265,GE0116,C035,G3,2026-09-03,3,06:26:14,Direct,1,0,1,1,C035,1
AE00267,GE0117,C035,G3,2026-09-03,3,10:20:18,Social,0,0,,,C032,1
AE00271,GE0120,C035,G3,2026-09-03,3,12:42:47,Direct,1,1,0,2,C035,1
AE00274,GE0121,C035,G3,2026-09-03,3,18:58:41,Social,0,0,,,C029,1
AE00276,GE0122,C035,G3,2026-09-03,3,09:51:41,Social,0,0,,,C036,1
AE00277,GE0123,C035,G3,2026-09-03,3,09:21:19,Direct,1,1,0,3,C035,1
AE00266,GE0117,C032,G3,2026-09-03,3,10:20:18,Direct,1,1,0,0,C032,1
AE00268,GE0117,C036,G3,2026-09-03,3,10:20:18,Social,0,0,,,C032,1
AE00275,GE0122,C036,G3,2026-09-03,3,09:51:41,Direct,1,0,1,4,C036,1
AE00280,GE0124,C036,G3,2026-09-03,3,11:30:15,Social,0,0,,,C026,1
AE00269,GE0118,C031,G3,2026-09-03,3,06:18:30,Direct,1,1,0,1,C031,1
AE00270,GE0119,C029,G3,2026-09-03,3,07:40:34,Direct,1,0,1,3,C029,1
AE00273,GE0121,C029,G3,2026-09-03,3,18:58:41,Direct,1,0,1,4,C029,1
AE00272,GE0120,C026,G3,2026-09-03,3,12:42:47,Social,0,0,,,C035,0
AE00278,GE0123,C034,G3,2026-09-03,3,09:21:19,Social,0,0,,,C035,0
AE00281,GE0125,C039,G4,2026-09-03,3,15:11:25,Direct,1,0,1,0,C039,1
AE00284,GE0126,C039,G4,2026-09-03,3,18:40:14,Direct,1,1,0,1,C039,1
AE00288,GE0129,C039,G4,2026-09-03,3,16:16:25,Direct,1,0,1,2,C039,1
AE00282,GE0125,C044,G4,2026-09-03,3,15:11:25,Social,0,0,,,C039,1
AE00283,GE0125,C047,G4,2026-09-03,3,15:11:25,Social,0,0,,,C039,1
AE00285,GE0126,C043,G4,2026-09-03,3,18:40:14,Social,0,0,,,C039,1
AE00286,GE0127,C045,G4,2026-09-03,3,06:14:09,Direct,1,0,1,2,C045,1
AE00291,GE0131,C045,G4,2026-09-03,3,06:41:42,Social,0,0,,,C040,1
AE00287,GE0128,C040,G4,2026-09-03,3,11:13:29,Direct,1,1,0,0,C040,1
AE00290,GE0131,C040,G4,2026-09-03,3,06:41:42,Direct,1,1,0,1,C040,1
AE00289,GE0130,C046,G4,2026-09-03,3,16:39:27,Direct,1,1,0,1,C046,1
AE00292,GE0131,C046,G4,2026-09-03,3,06:41:42,Social,0,0,,,C040,1
AE00293,GE0132,C054,G5,2026-09-03,3,08:29:38,Direct,1,1,0,1,C054,1
AE00300,GE0134,C054,G5,2026-09-03,3,06:07:04,Direct,1,0,1,2,C054,1
AE00294,GE0132,C050,G5,2026-09-03,3,08:29:38,Social,0,0,,,C054,0
AE00295,GE0132,C053,G5,2026-09-03,3,08:29:38,Social,0,0,,,C054,1
AE00298,GE0133,C053,G5,2026-09-03,3,07:19:49,Direct,1,0,1,4,C053,1
AE00296,GE0132,C055,G5,2026-09-03,3,08:29:38,Social,0,0,,,C054,1
AE00297,GE0132,C059,G5,2026-09-03,3,08:29:38,Social,0,0,,,C054,1
AE00299,GE0133,C049,G5,2026-09-03,3,07:19:49,Social,0,0,,,C053,1
AE00301,GE0134,C056,G5,2026-09-03,3,06:07:04,Social,0,0,,,C054,1
AE00302,GE0134,C057,G5,2026-09-03,3,06:07:04,Social,0,0,,,C054,1
AE00304,GE0135,C057,G5,2026-09-03,3,16:18:46,Direct,1,0,1,5,C057,1
AE00303,GE0134,C060,G5,2026-09-03,3,06:07:04,Social,0,0,,,C054,1
AE00316,GE0141,C071,G6,2026-09-03,3,17:29:21,Direct,1,0,1,11,C071,0
AE00306,GE0136,C065,G6,2026-09-03,3,12:40:43,Social,0,0,,,C071,1
AE00307,GE0136,C066,G6,2026-09-03,3,12:40:43,Social,0,0,,,C071,1
